Chemin, Paquet, Classe, TLOC, TASSERT, tcmp
./jfreechart-master/src/test/java/org/jfree/chart/plot/XYPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/XYPlotTest, 994, 244, 4.07
./jfreechart-master/src/test/java/org/jfree/chart/plot/flow/FlowPlotTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/plot/flow/FlowPlotTest, 180, 42, 4.29
./jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/GanttChartTest, 173, 4, 43.25
./jfreechart-master/src/test/java/org/jfree/chart/title/TextTitleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/title/TextTitleTest, 81, 25, 3.24
./jfreechart-master/src/test/java/org/jfree/chart/title/CompositeTitleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/title/CompositeTitleTest, 83, 20, 4.15
./jfreechart-master/src/test/java/org/jfree/chart/title/ShortTextTitleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/title/ShortTextTitleTest, 40, 9, 4.44
./jfreechart-master/src/test/java/org/jfree/chart/title/DateTitleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/title/DateTitleTest, 55, 15, 3.67
./jfreechart-master/src/test/java/org/jfree/chart/title/TitleTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/title/TitleTest, 39, 11, 3.55
./jfreechart-master/src/test/java/org/jfree/chart/LegendItemTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/LegendItemTest, 257, 46, 5.59
./jfreechart-master/src/test/java/org/jfree/chart/entity/PieSectionEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/PieSectionEntityTest, 65, 19, 3.42
./jfreechart-master/src/test/java/org/jfree/chart/entity/CategoryItemEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/CategoryItemEntityTest, 64, 11, 5.82
./jfreechart-master/src/test/java/org/jfree/chart/entity/StandardEntityCollectionTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/StandardEntityCollectionTest, 52, 9, 5.78
./jfreechart-master/src/test/java/org/jfree/chart/entity/TickLabelEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/TickLabelEntityTest, 44, 11, 4.00
./jfreechart-master/src/test/java/org/jfree/chart/entity/CategoryLabelEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/CategoryLabelEntityTest, 50, 13, 3.85
./jfreechart-master/src/test/java/org/jfree/chart/entity/LegendItemEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/LegendItemEntityTest, 53, 15, 3.53
./jfreechart-master/src/test/java/org/jfree/chart/entity/XYItemEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/XYItemEntityTest, 57, 15, 3.80
./jfreechart-master/src/test/java/org/jfree/chart/entity/FlowEntityTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/entity/FlowEntityTest, 45, 14, 3.21
./jfreechart-master/src/test/java/org/jfree/chart/XYBarChartTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/XYBarChartTest, 87, 5, 17.40
./jfreechart-master/src/test/java/org/jfree/chart/LegendItemCollectionTest.java,  , ./jfreechart-master/src/test/java/org/jfree/chart/LegendItemCollectionTest, 56, 9, 6.22
